title,slug,start_date,end_date,location,category,description,pretix_link
Hans Theessink,hans-theessink,2026-06-11 19:30:00,2026-06-11 22:00:00,Die Brücke,Konzert,"Der Blues-Meister Solo - Eine Gitarre - Eine Stimme
 
 Nach mehr als 8000 Konzerte und 50 Jahren ""on the road"" ist HANS THEESSINK eine Institution in Sachen Rootsmusik. Seine gefühlvollen Interpretationen des solo acoustic Blues sind zu seinem Markenzeichen geworden und mit seiner sonoren Stimme und seinem uverkennbarem Gitarrenstil ist der Niederländer und Wahlwiener weltweit gefragt. Seine Tourneen führen ihn durch Europa, Nord-Amerika, Asien, Neuseeland und Australien. In den USA - wo der Blues beheimatet ist - ist Hans, als einziger Europäer, immer wieder bei den größten Blues-, Roots-, Jazz- und Folkfestivals vertreten. Die US-Presse nannte den zweifachen Amadeus-Gewinner und Träger des Goldenen Verdienstzeichens des Landes Wien, ""einen internationalen Bluesschatz"", und der legendäre Bo Diddley meinte: ""Ein höllisch guter Gitarrist"". Hans hat diverse Amadeus Awards und Danish Music Awards gewonnen. Er wurde auch nominiert für einen Grammy und den Blues Music Award 2009 in Memphis TN. 2018 wurde Hans in The Dutch Blues Hall Of Fame aufgenommen. Er hat über 30 Alben, ein Songbuch, ein Lehrvideo und eine DVD veröffentlicht. Das aktuelle Album ""PAY DAY“ ist ein gemeinsames Projekt von Hans Theessink & Big Daddy Wilson. (A top-notch sixteen-track masterpiece. An absolute winner! (Iain Patience, Blues Matters, UK)
 
 A killer picker with a magical voice (Midwest Record, USA)
 
 A storyteller of the highest order (Billtown Blues Association, USA)
 
 Hans Theessink, is one of the fiercest acoustic players in Europe and one of the top acoustic blues stars worldwide, a man who has played with the best and is one of the best, American or European, black & white, old and young, since the 1960s.This guy is the real deal, simply a blues master who is as good as it gets on every level. www.thecountryblues.com (US)
 
 Theessink ist ein Meister des Understatements und der Wahlwiener brilliert zudem als Gitarrist; sein Spiel schafft Räume, er spielt nur wenige Töne. Aber die sitzen! (Akustik Gitarre, D)
 
 The popularity of Dutch guitarist Hans Theessink is a testament to the quality of Theessink’s musical output. It’s also a testament to the global reach of American blues. (LIVING BLUES, USA, January 2022)
 
 Quintessenz des Blues (Donau Kurier, D)
 
 Was da an Sechs-Saiten-Finesse, stimmlicher Brillanz und tiefstem Südstaaten-Feeling zusammenkommt, lässt sich in keiner Maßeinheit ausdrücken. (Global-mojo, D)
 
 Hans Theessink is an international blues treasure. He is one of the world's pre-eminent pickers and his warm baritone expresses blues. (Blues Revue, USA)
 
 ONE HELLUVA GUITARPLAYER (Bo Diddley)
 
 Mr. Theessink sings the blues with a voice the texture of black molasses and plays guitar as if he were born to it. The overall feel of the music is devastating competent. (The Living Tradition, UK)
 
 Kaum jemand kriegt das alles derart entspannt und zugleich konzentriert auf den Punkt hin... (Bluesnews, D)
 
 Die Champions League der Blues-Szene (Bühler Tagblatt, D)
 
 A masterclass in how to play the blues with soul and authenticity. (R2, UK)
 
 One of the best blues players ever – that’s for sure (Townes van Zandt)
 
 Foto: Morton Fog",
Rosetti Sisters,rosetti-sisters,2026-06-19 19:30:00,2026-06-19 22:00:00,Die Brücke,Konzert,"Die Rosetti Sisters sind aus dem erdenklich liebenswertesten und klingenden Urgestein der Grazer alternativen Musikszene geformt. Im Jahr 2023 feiert die groovige Combo ihr fünfzehnjähriges Bestehen und hat nicht vor, es das letzte Jubiläum werden zu lassen. Ob sie nun über die rauschende Mur, die Karibik oder die angeblich grenzlegale Fete des Vorabends singen, die Rosettis funken und grooven, und gerne frönen sie auch der Laid-Backness des Reggae Beats. (Friedel Gastro/Greifenstein)",
ABBA 4 YOU,abba-4-you,2026-06-20 20:00:00,2026-06-20 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-5,2026-06-24 19:00:00,2026-06-24 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Boxty,boxty,2026-06-26 19:30:00,2026-06-26 22:00:00,Die Brücke,Konzert,"Seit 25 Jahren musiziert der Wahl-Steirer Eamonn Donnelly bereits mit der Band und bringt bei jedem Auftritt in seiner charmanten und gewitzten Art Geschichten und Musik aus seiner Heimat dem hier ansässigen Publikum näher.
 Boxty ist es ein Anliegen, traditionelles irisches Material mit neuen Arrangements zu beleben und über Singalongs und Mitschunkel-Lieder hinauszugehen. Die unterschiedlichen musikalischen Wurzeln der Bandmitglieder verleihen dem Repertoire eine stilistische Vielfalt und geben ihm einen Anstrich von Weltmusik. In ihren Auftritten bietet die Band ein vielfältiges musikalisches Erlebnis, das von bluesigen Tarentino-Sounds und Cajun-Anleihen bis hin zu orientalischen Klängen reicht.
 
 Eamonn Donnelly: vocals, whistles, bodhran
 Michi Merkusch: guitars, bass, vocals
 Dieter Reinisch: bass, percussion
 Sigi Ritter: drums
 Stefan Wedam: guitars, cello, vocals
 Kurt Bauer: fiddle",
"Sir Oliver Mally, Peter Schneider, Martin Burböck","sir-oliver-mally,-peter-schneider,-martin-burböck",2026-07-04 19:30:00,2026-07-04 22:00:00,Die Brücke,Konzert,,
Kabarett Cuvée Sommer Festival Tag 1,kabarett-cuvée-sommer-festival-tag-1,2026-07-16 19:30:00,2026-07-16 22:00:00,Die Brücke,Kabarett,,
Kabarett Cuvée Sommer Festival Tag 2,kabarett-cuvée-sommer-festival-tag-2,2026-07-17 19:30:00,2026-07-17 22:00:00,Die Brücke,Kabarett,,
Kabarett Cuvée Sommer Festival Tag 3,kabarett-cuvée-sommer-festival-tag-3,2026-07-18 19:30:00,2026-07-18 22:00:00,Die Brücke,Kabarett,,
"Ulli BÄER, Matthias KEMPF und Andy BAUM – Ein Abend zu dritt","ulli-bäer,-matthias-kempf-und-andy-baum-–-ein-abend-zu-dritt",2026-07-24 19:30:00,2026-07-24 22:00:00,Die Brücke,Konzert,"Die drei Austropoper Ulli Bäer, Matthias Kempf und Andy Baum kennen und schätzen einander seit Jahren. Seit 2019 spielen sie gemeinsame Konzerte. Geplant waren ursprünglich nur einige wenige „Abende zu dritt“, nun geht das Trio ins siebente gemeinsame Jahr. Zu groß sind die gegenseitige Neugier und Freude auf immer neue Interpretationen und das gemeinsame Entdecken nicht so bekannter Werke.
 So gleicht kein Abend dem anderen. Und das ist gut so!
 
 Mit im musikalischen Gepäck: Eigene Lieder bzw. Ausgeborgtes, arrangiert für drei Gitarren und drei unverwechselbare Stimmen.
 
 Andy Baums „Slow Down“ und „Still Remember Yvonne“ stehen mitunter genauso am Programm wie Neues in Mundart. Ulli Bäer hat natürlich u.a. seine Hits „Der Durscht“ oder „Alle Lichter“ mit dabei und Matthias Kempf spielt sowohl seine ruhigen als auch lustig beschwingten Lieder.
 
 Garniert mit herrlichen Anekdoten ist dieser Abend für Fans handgemachter Musik eine wunderbare Gelegenheit um zu lauschen, zu genießen und zu lachen!",
Charlie & die Kaischlabuam,charlie-&-die-kaischlabuam,2026-07-31 19:30:00,2026-07-31 22:00:00,Die Brücke,Konzert,"Songs über die Liebe, das Leben, das Scheitern, grindige Pachtverträge, Bonobos, Neandertaler, räudige Mopeds, verrückte Schwalben und verliebte Forellen!
 
 Dazu gibt’s eigenhändig erlebte Gschichtl und den Charme der steirischen Boygroup.
 
 Lassen sie sich ein auf eine seltsame Reise in die robuste Seelenlandschaft der Kaischlabuam. Sie werden diese Reise als anderer Mensch verlassen,
 
 Ob besser- ungewiss!
 
 Ein steirischer Heimatabend 2.0
 
 Charlie Kainz: Gesang, Gitarre, Fußmaschin
 
 Robert Masser: Gitarre, Gesang
 
 Gerd Steinrück: Kontrabass
 
 Martin Burböck: steirische Harmonika und Gesang
 
 Keine Angst wir sind die Guten! www.kaischlabuam.at
 
 Foto: Reinhard Sock",
Crossing Strings,crossing-strings,2026-11-13 20:00:00,2026-11-13 22:00:00,Die Brücke,Konzert,"Crossing Strings ist ein österreichisches Crossover-Gitarrenduo, bestehend aus der klassischen Gitarristin & Instrumentalpädagogin Carina Maria Linder (aus Kärnten) und dem (Wiener) Fingerstyle-Gitarristen sowie Begründer des Vienna Fingerstyle Festivals Markus Schlesinger. Mit seinem Debütalbum „Intersections“ katapultiert sich das Duo „an die Spitze der europäischen Fingerpicker-Szene“ (Concerto 6/22) und tourt mit Konzerten als auch Gitarren-Workshops durch Australien, Belgien, Ungarn, Österreich, Deutschland und die Schweiz. In „Intersections“ präsentiert das ClassicalFingerstyle Guitar Duo Eigenkompositionen, selbstarrangierte klassische, jazzige und popige Evergreens und zwei Stimmen, die sich in ihren Farben einmalig miteinander ergänzen.",
Kabarett Cuvee,kabarett-cuvee-2,2026-11-19 20:00:00,2026-11-19 22:00:00,Die Brücke,Kabarett,,
Gottfried D. Gfrerer,gottfried-d.-gfrerer,2026-11-20 20:00:00,2026-11-20 22:00:00,Die Brücke,Konzert,"Gfrerersound
 
 Gottfried David Gfrerer gilt als einer der besten Slide-Gitarristen Europas. Er mixt Rootsmusik aus den USA und Europa mit modernen Strömungen. Archaische Elemente verschmolzen mit virtuosen Passagen prägen seine unverkennbaren Lieder. An seinen exquisiten Stücken und Liedern werkt er ebenso sorgfältig, wie er seine Resonator-Gitarren baut.
 
 Gfrerers einzigartiger Gitarrensound ist mittlerweile unter „Gfrerersound“ in der Musikwelt bekannt – mit ein Grund, warum er auch international Erfolge feiern kann und als Dozent an die „London Music School“ geholt wurde. Trotz – oder gerade wegen – dieser stilistischen Bandbreite und dem unverwechselbaren Personal-Stil bilden seine Songs eine abwechslungsreiche Einheit, die man gehört haben muss.
 
 Gottfried David Gfrerer: Stimme, Resonatorgitarre, Gitarre
 
 Foto: Hanna Haidn",
Erwin R,erwin-r,2026-11-27 19:30:00,2026-11-27 22:00:00,Die Brücke,Konzert,,
